"com2018";"epci2018";"LIBGEO";"POP";"popmax"
"01004";"240100883";"Ambérieu-en-Bugey";14127;14127
"01025";"200071371";"Bâgé-Dommartin";4063;4063
"01033";"240100891";"Bellegarde-sur-Valserine";11809;11809
"01034";"200040350";"Belley";9058;9058
"01053";"200071751";"Bourg-en-Bresse";40819;40819
"01093";"200069193";"Châtillon-sur-Chalaronne";4914;4914
"01173";"240100750";"Gex";11687;11687
"01185";"240100578";"Hauteville-Lompnes";3739;3739
"01249";"240100800";"Miribel";9574;9574
"01262";"240100610";"Montluel";7032;7032
"01263";"200070118";"Montmerle-sur-Saône";3794;3794
"01283";"200042935";"Oyonnax";22392;22392
"01304";"200029999";"Pont-d-Ain";2867;2867
"01427";"200042497";"Trévoux";6768;6768
"01457";"200070555";"Vonnas";2926;2926
"02018";"200071769";"Anizy-le-Château";1956;1956
"02095";"240200493";"Bohain-en-Vermandois";5670;5670
"02106";"240200592";"Bourg-et-Comin";832;832
"02110";"240200501";"Braine";2249;2249
"02163";"240200584";"Charly-sur-Marne";2657;2657
"02168";"200072031";"Château-Thierry";14602;14602
"02360";"240200576";"Guignicourt";2193;2193
"02361";"200071983";"Guise";4919;4919
"02381";"240200600";"Hirson";9158;9158
"02408";"200043495";"Laon";25358;25358
"02468";"240200469";"Marle";2281;2281
"02502";"240200634";"Montcornet";1384;1384
"02558";"240200444";"Le-Nouvion-en-Thiérache";2669;2669
"02580";"240200519";"Oulchy-le-Château";832;832
"02648";"200040426";"Ribemont";1969;1969
"02691";"200071892";"Saint-Quentin";55649;55649
"02722";"240200477";"Soissons";28410;28410
"02738";"200071785";"Tergnier";13734;13734
"02810";"200071991";"Villers-Cotterêts";10951;10951
"03036";"200071496";"Bourbon-l-Archambault";2556;2556
"03048";"240300558";"Cérilly";1316;1316
"03082";"200071512";"Commentry";6329;6329
"03118";"200071389";"Gannat";5841;5841
"03128";"240300657";"Huriel";2682;2682
"03138";"240300491";"Lapalisse";3067;3067
"03185";"200071082";"Montluçon";36946;36946
"03190";"200071140";"Moulins";19697;19697
"03297";"240300566";"Vallon-en-Sully";1606;1606
"03298";"200071470";"Varennes-sur-Allier";3569;3569
"03310";"200071363";"Vichy";25068;25068
"04019";"200072304";"Barcelonnette";2622;2622
"04039";"200068625";"Castellane";1543;1543
"04070";"200067437";"Digne-les-Bains";16246;16246
"04088";"240400440";"Forcalquier";4981;4981
"04112";"200034700";"Manosque";21754;21754
"04145";"200071033";"Peipin";1476;1476
"04160";"200071025";"Reillanne";1621;1621
"04209";"200068765";"Sisteron";7213;7213
"05006";"240500462";"L-Argentière-la-Bessée";2307;2307
"05017";"200067320";"La-Bâtie-Neuve";2487;2487
"05023";"240500439";"Briançon";12370;12370
"05046";"200067742";"Embrun";6177;6177
"05061";"200067825";"Gap";40776;40776
"05065";"200067452";"Guillestre";2301;2301
"05132";"200068096";"Saint-Bonnet-en-Champsaur";2021;2021
"05179";"200067445";"Veynes";3159;3159
"06004";"240600585";"Antibes";74875;74875
"06029";"200039915";"Cannes";74285;74285
"06048";"240600593";"Contes";7412;7412
"06069";"200039857";"Grasse";50937;50937
"06083";"240600551";"Menton";28231;28231
"06088";"200030195";"Nice";342522;342522
"06099";"200039931";"Puget-Théniers";1898;1898
"07010";"200072015";"Annonay";16698;16698
"07019";"200073245";"Aubenas";12248;12248
"07042";"240700864";"Bourg-Saint-Andéol";7201;7201
"07064";"200041465";"Le-Cheylard";3032;3032
"07071";"200072007";"Coucouron";828;828
"07102";"200041366";"Guilherand-Granges";10862;10862
"07117";"240700302";"Lablachère";2081;2081
"07129";"200016905";"Lamastre";2361;2361
"07132";"240700617";"Largentière";1724;1724
"07182";"200039824";"Prades";1268;1268
"07186";"200071413";"Privas";8321;8321
"07309";"240700716";"Satillieu";1582;1582
"07319";"200071405";"Le-Teil";8449;8449
"07324";"200073096";"Tournon-sur-Rhône";10326;10326
"07330";"200039808";"Vallon-Pont-d-Arc";2342;2342
"07334";"200039832";"Les-Vans";2672;2672
"07341";"240700815";"Villeneuve-de-Berg";2967;2967
"08081";"200067759";"Bogny-sur-Meuse";5240;5240
"08090";"240800847";"Carignan";2931;2931
"08105";"200041630";"Charleville-Mézières";47847;47847
"08190";"240800821";"Givet";6699;6699
"08362";"200043156";"Rethel";7764;7764
"08419";"240800862";"Signy-l-Abbaye";1364;1364
"08420";"200041622";"Signy-le-Petit";1271;1271
"08490";"240800920";"Vouziers";4383;4383
"09032";"200066363";"Ax-les-Thermes";1231;1231
"09122";"200067791";"Foix";9706;9706
"09160";"240900464";"Lavelanet";6205;6205
"09167";"200066223";"Lézat-sur-Lèze";2329;2329
"09194";"200044469";"Mirepoix";3162;3162
"09225";"200066231";"Pamiers";15317;15317
"09261";"200067940";"Saint-Girons";6324;6324
"09306";"240900431";"Tarascon-sur-Ariège";3231;3231
"10003";"241000447";"Aix-Villemaur-Pâlis";3583;3583
"10006";"200071777";"Arcis-sur-Aube";2822;2822
"10033";"241000405";"Bar-sur-Aube";4978;4978
"10034";"200069003";"Bar-sur-Seine";3054;3054
"10064";"200040137";"Brienne-le-Château";2907;2907
"10140";"200071041";"Ervy-le-Châtel";1217;1217
"10224";"241000488";"Marigny-le-Châtel";1725;1725
"10233";"200070126";"Méry-sur-Seine";1499;1499
"10268";"200006716";"Nogent-sur-Seine";5965;5965
"10287";"241000223";"Piney";1541;1541
"10323";"200000545";"Romilly-sur-Seine";14493;14493
"10387";"200069250";"Troyes";60928;60928
"10401";"200066892";"Vendeuvre-sur-Barse";2352;2352
"11049";"200035707";"Bram";3254;3254
"11304";"200043776";"Quillan";3336;3336
"11069";"200035715";"Carcassonne";45996;45996
"11076";"200035855";"Castelnaudary";10969;10969
"11203";"200035863";"Lézignan-Corbières";11285;11285
"11206";"200071926";"Limoux";10214;10214
"11262";"241100593";"Narbonne";53462;53462
"11367";"200042463";"Saissac";927;927
"12223";"200067171";"Argences-en-Aubrac";1682;1682
"12025";"200067163";"Belmont-sur-Rance";1005;1005
"12270";"200068484";"Sévérac-d-Aveyron";4116;4116
"12056";"200068831";"Baraqueville";3141;3141
"12063";"241200906";"La-Cavalerie";1076;1076
"12089";"200067064";"Decazeville";5521;5521
"12096";"200067478";"Espalion";4545;4545
"12102";"241200658";"Flavin";2308;2308
"12145";"241200567";"Millau";22234;22234
"12148";"241200674";"Montbazens";1401;1401
"12197";"241200542";"Réquista";2005;2005
"12198";"241200807";"Rieupeyroux";1990;1990
"12199";"241200625";"Rignac";1921;1921
"12202";"241200187";"Rodez";23949;23949
"12208";"200067155";"Saint-Affrique";8236;8236
"12244";"241200914";"Saint-Rome-de-Tarn";872;872
"12253";"241200765";"Salles-Curan";1057;1057
"12254";"241200641";"Salles-la-Source";2196;2196
"12300";"200069383";"Villefranche-de-Rouergue";11892;11892
"13004";"241300417";"Arles";52886;52886
"13027";"200035087";"Châteaurenard";15624;15624
"13055";"200054807";"Marseille";861635;861635
"13100";"241300375";"Saint-Rémy-de-Provence";9775;9775
"14020";"200065589";"Argences";3691;3691
"14027";"200069524";"Les-Monts-d-Aunay";4740;4740
"14047";"241400555";"Bayeux";13656;13656
"14118";"200065597";"Caen";106260;106260
